X,Y,OBJECTID,CODE_OBJECT,ROEPNAAM_ZZ_OBJECT,NAAM_ZAAL,HOOFDFUNCTIE_ACTIVITEITSTYPE,MAX_ZITTEND,MAX_STAAND,ORIG_FID
4.376740703669782,51.178442420505391,22812,0000012958,Valaarhof,Snek,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",80,120,108
4.387032356143819,51.168302712032322,22813,0000012988,'t Spant,Spiegelzaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",70,120,109
4.434793836265586,51.210191921354763,22814,0000013127,Spartacus Borgerhout vzw,Zaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",80,130,110
4.396257617237556,51.16675260363251,22815,0000013147,Mariënborgh,Grote Zaal,"Feest, Hobby, Vergader, Vergader1",85,150,111
4.396257617237556,51.16675260363251,22816,0000013147,Mariënborgh,Cafetaria,Feest,80,100,112
4.396257617237556,51.16675260363251,22817,0000013147,Mariënborgh,Combinatie café + zaal + terras,Feest,80,250,113
4.402419405720238,51.170643077935665,22818,0000013386,De Nieuwe Kroon,Feestzaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",58,70,114
4.412865259624525,51.275585440717599,22819,0000013407,Hagelkruis,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vakantieactiviteit, Vergader, Vergader1",100,100,115
4.427040357469759,51.280742428964132,22820,0000013574,Blankenberg,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",100,150,116
4.411372838051654,51.231805113289418,22821,0000013695,Bas-île,Grote zaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",60,150,117
4.392232184183805,51.203113838073229,22822,0000020478,Venue219,Zaaltje,Feest,40,75,118
4.397460817775021,51.219856530646652,22823,0000020755,De Ware Jacob,Café,"Feest, Repetitie",20,49,119
4.412398511694516,51.224314008978858,22824,0000020771,Gate 15,Tarmac,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",85,140,120
4.415874166958901,51.199520494800659,22825,0000020967,Afspanning De Hand,Zaaltje,"Feest, Hobby, Sport, Vergader, Vergader1",49,110,121
4.442268865519345,51.214627778934478,22826,0000021566,Tafeltennisclub AFP,Cafetaria,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",60,80,122
4.442268865519345,51.214627778934478,22827,0000021566,Tafeltennisclub AFP,Pingpongzaal eerste verdieping,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader",100,200,123
4.442268865519345,51.214627778934478,22828,0000021566,Tafeltennisclub AFP,Pingpongzaal beneden,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader",100,200,124
4.390526412983761,51.230104061658658,22829,0000023087,Cultureel Centrum ter Schelde,Grote zaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",300,400,125
4.390526412983761,51.230104061658658,22830,0000023087,Cultureel Centrum ter Schelde,Kleine zaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",50,80,126
4.402566197959972,51.221999531025638,22831,0000023224,De Taloorkes,Kelder,"Feest, Hobby, Repetitie, Vergader, Vergader1",50,65,127
4.418223085130856,51.21991364452213,22832,0000023246,Koninklijk Atheneum Antwerpen,Zaal AthenA,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",350,499,128
4.421159956358269,51.215116978505222,22833,0000023253,Ampère,Ampère - Feestzaal,"Feest, Hobby, Religiebeleving, Sport, Vergader, Vergader1",0,960,129
4.355937542272202,51.16153391136428,22834,0000023256,Scouts 28 Zaoeja,'t Macadammeke,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",130,200,130
4.403592319218318,51.23389338223523,22835,0000023258,De Shop,Evenementenhal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",700,3999,131
4.403592319218318,51.23389338223523,22836,0000023258,De Shop,Evenementenhal roze zijde,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",400,2000,132
4.403592319218318,51.23389338223523,22837,0000023258,De Shop,Bar,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",40,400,133
4.403592319218318,51.23389338223523,22838,0000023258,De Shop,Cielo,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",150,400,134
